year,survey,species_code,catchjoin,hauljoin,stratum,numcpue
2003,GOA,21740,1174926,1173367,131,42.62836252523599
2003,GOA,21740,1179336,1173368,134,5641.121239671975
2003,GOA,21740,1180624,1173369,133,732.9850878064395
2003,GOA,21740,1193600,1166998,132,585.7433009270852
2003,GOA,21740,1188007,1166999,132,717.5794037489219
2003,GOA,21740,NA,1167000,132,0
2003,GOA,21740,NA,1167001,20,0
2003,GOA,21740,NA,1167002,32,0
2003,GOA,21740,1193601,1167003,32,139.17464794613014
2003,GOA,21740,1193602,1167004,32,46.77920495934419
2003,GOA,21740,NA,1167005,32,0
2003,GOA,21740,NA,1167006,32,0
2003,GOA,21740,NA,1167007,32,0
2003,GOA,21740,1173854,1173594,151,1796.5485735404327
2003,GOA,21740,NA,1173595,251,0
2003,GOA,21740,1173905,1173596,251,1667.7096105643734
2003,GOA,21740,1179274,1173597,151,3240.5921558974105
2003,GOA,21740,1173889,1173598,151,350.07025034748847
2003,GOA,21740,1179987,1173332,130,291.55037451103357
2003,GOA,21740,1174905,1173333,130,261.0718277782252
2003,GOA,21740,NA,1173334,134,0
2003,GOA,21740,NA,1173335,131,0
2003,GOA,21740,NA,1173336,131,0
2003,GOA,21740,NA,1173337,131,0
2003,GOA,21740,NA,1173338,131,0
2003,GOA,21740,NA,1173339,131,0
2003,GOA,21740,NA,1173340,131,0
2003,GOA,21740,1175537,1173341,134,39.57846716079592
2003,GOA,21740,NA,1173342,134,0
2003,GOA,21740,1175216,1173343,230,34.978835705667926
2003,GOA,21740,1179940,1173344,230,39.18088750038789
2003,GOA,21740,1179971,1173345,133,40.45244604614556
2003,GOA,21740,1179974,1173346,133,277.7891869765286
2003,GOA,21740,NA,1173347,133,0
2003,GOA,21740,NA,1173348,133,0
2003,GOA,21740,NA,1173349,134,0
2003,GOA,21740,1175176,1173350,134,119.67517285881968
2003,GOA,21740,NA,1173351,134,0
2003,GOA,21740,1179995,1173352,31,166.6006927923209
2003,GOA,21740,1175160,1173353,230,224.99215902325804
2003,GOA,21740,NA,1173354,134,0
2003,GOA,21740,NA,1173356,31,0
2003,GOA,21740,NA,1180797,122,0
2003,GOA,21740,NA,1180798,22,0
2003,GOA,21740,NA,1180799,111,0
2003,GOA,21740,1186943,1180800,12,179662.22722773702
2003,GOA,21740,1182255,1180808,130,4962.559603610743
2003,GOA,21740,1182277,1180809,31,255.8946178196823
2003,GOA,21740,1182323,1180810,31,128.99450289925895
2003,GOA,21740,1186254,1180811,130,125.87478781706601
2003,GOA,21740,NA,1180812,31,0
2003,GOA,21740,1186706,1180813,231,243.61902888745118
2003,GOA,21740,NA,1180814,134,0
2003,GOA,21740,NA,1180815,31,0
2003,GOA,21740,NA,1180816,134,0
