year,species_code,comp_type,ae,ae_al,al,base,bin,grwth,region
1990,10110,female,93.0428184009702,96.0746699319821,79.98432947413431,96.12998157200497,1cm,Pooled,goa
1990,10110,male,34.94558916175611,30.604921284037815,24.50987994504774,34.88257045272749,1cm,Pooled,goa
1990,10110,total,132.78247524077233,122.98872140429413,87.42234974399086,113.20095086945668,1cm,Pooled,goa
1993,10110,female,150.34790188839466,131.4063074855545,202.29677437320305,244.6233312142168,1cm,Pooled,goa
1993,10110,male,98.6160935664648,90.39245685879663,139.45372092554058,152.0351871507044,1cm,Pooled,goa
1993,10110,total,211.03410408284316,190.2949532367848,316.9283964464935,362.1217061510385,1cm,Pooled,goa
1996,10110,female,128.27261122104966,106.82730409993168,145.33324071757522,192.1690835304286,1cm,Pooled,goa
1996,10110,male,86.06878026212205,78.79808295608315,88.79555224593669,108.16391742646778,1cm,Pooled,goa
1996,10110,total,209.78072840629727,163.51888900669232,195.73127465239497,281.42146242837794,1cm,Pooled,goa
1996,10261,female,29.946116074938864,35.81753881451367,32.06065933667818,28.7821662115529,1cm,Pooled,goa
1996,10261,male,15.034240263486293,9.246125124751428,8.945683214172787,16.455192237116115,1cm,Pooled,goa
1996,10261,total,43.207209522039015,31.252516413345596,30.335823084163184,46.22668636238541,1cm,Pooled,goa
1999,10110,female,233.49318035140064,241.8207559643204,218.72177194406663,248.30791782349235,1cm,Pooled,goa
1999,10110,male,152.0055634182379,169.22806000664488,154.31180330044197,168.47855673028496,1cm,Pooled,goa
1999,10110,total,315.2911494133803,338.66503058344347,348.1588029997465,384.53967774105496,1cm,Pooled,goa
1999,10261,female,69.52010592106592,44.99433767738573,42.626819601877955,69.40880271055244,1cm,Pooled,goa
1999,10261,male,44.962321954962256,28.214234538535013,28.375549316314753,43.62535244418415,1cm,Pooled,goa
1999,10261,total,102.84432228463304,57.11955276856608,55.16037078996668,99.40029192338768,1cm,Pooled,goa
2001,10110,female,254.5325907175404,210.0552768771764,294.6121204607878,367.5216496858743,1cm,Pooled,goa
2001,10110,male,200.73189905297139,130.26209442034013,165.85290341267384,241.02083230110236,1cm,Pooled,goa
2001,10110,total,342.16719638352026,240.25314367919543,363.02493753943565,513.1830259004457,1cm,Pooled,goa
2001,10261,female,114.78788446272662,109.14055514022829,104.45141231193354,115.63474417142685,1cm,Pooled,goa
2001,10261,male,92.61574332601742,87.63308853654257,77.98040671882103,88.04792302952251,1cm,Pooled,goa
2001,10261,total,175.8873526590454,161.53288809473224,151.2701304680442,179.45538731918217,1cm,Pooled,goa
2003,10110,female,207.8399458190181,203.71810514851504,187.99258147032313,190.3496468579527,1cm,Pooled,goa
2003,10110,male,125.21204748158816,118.9287145191708,155.7882407360547,156.83178607741732,1cm,Pooled,goa
2003,10110,total,260.96751252213227,249.44820594269888,269.10388942337556,279.5701816603537,1cm,Pooled,goa
2003,10261,female,117.51431420611164,119.70471644186146,111.79808483311233,109.72661635529144,1cm,Pooled,goa
2003,10261,male,69.1998772651417,65.65167374355472,62.458110756179515,62.00872078827679,1cm,Pooled,goa
2003,10261,total,162.72940221469335,157.94448334671483,154.7932505817326,150.10061533174868,1cm,Pooled,goa
2005,10110,female,132.35726522706216,72.75036010255505,94.43342832034897,185.79247510334665,1cm,Pooled,goa
2005,10110,male,59.97957639438185,49.25528768541551,92.61652388222583,136.42696348072286,1cm,Pooled,goa
2005,10110,total,200.64091472585815,94.8275405014676,130.52062465910495,302.6295324680963,1cm,Pooled,goa
2005,10261,female,81.60406426841887,73.32842753518607,74.2277522612207,81.2545624527687,1cm,Pooled,goa
2005,10261,male,50.615136195313866,33.45031242410294,41.10301094420744,54.84228077845208,1cm,Pooled,goa
2005,10261,total,112.37176652805076,82.96887485204475,95.86951720266784,116.07168585603488,1cm,Pooled,goa
2007,10110,female,128.04869217307956,110.01453772896804,154.3414380139741,186.08221549078655,1cm,Pooled,goa
2007,10110,male,112.18277979156996,91.49261776449347,98.6337587250431,118.97657569557836,1cm,Pooled,goa
2007,10110,total,187.05005411026852,145.34457905248698,207.20970428577397,293.3911359701602,1cm,Pooled,goa
2007,10261,female,95.72737745839888,94.74477111330852,97.47351710777112,96.98389443470076,1cm,Pooled,goa
2007,10261,male,59.70880375114647,54.65104405433344,51.509092212200365,51.04068365106125,1cm,Pooled,goa
2007,10261,total,140.59921470417072,136.57825092860864,141.89219867898476,132.1640343903991,1cm,Pooled,goa
2009,10110,female,160.9302502027904,141.37087312779303,166.9366478136258,190.2342299412262,1cm,Pooled,goa
2009,10110,male,127.41703432248212,114.53076684342456,127.56614749381323,150.63283361077262,1cm,Pooled,goa
2009,10110,total,225.26373257434855,183.61458806412583,237.1096619167023,289.6665523624112,1cm,Pooled,goa
2009,10261,female,107.2231315582021,77.87100006518482,82.56279940939233,105.04340630792944,1cm,Pooled,goa
