year,species_code,sex_cat,iss,err_src,comp_type,region,species,type,max_age,max_len
1990,10110,female,86.96330319752091,all,age,goa,arrowtooth flounder,flatfish,21,870
1990,10110,male,34.681538470565215,all,age,goa,arrowtooth flounder,flatfish,14,720
1990,10110,total,104.130821913648,all,age,goa,arrowtooth flounder,flatfish,21,870
1990,10130,female,34.248453723843994,all,age,goa,flathead sole,flatfish,26,510
1990,10130,male,25.62902295399064,all,age,goa,flathead sole,flatfish,33,470
1990,10130,total,66.64620118553107,all,age,goa,flathead sole,flatfish,33,510
1990,10180,female,45.57189254996625,all,age,goa,Dover sole,flatfish,40,650
1990,10180,male,26.47788429837296,all,age,goa,Dover sole,flatfish,34,550
1990,10180,total,69.88273578799142,all,age,goa,Dover sole,flatfish,40,650
1990,21720,female,78.2835802123333,all,age,goa,Pacific cod,gadid,12,1050
1990,21720,male,63.561546530648315,all,age,goa,Pacific cod,gadid,10,980
1990,21720,total,101.37187121533422,all,age,goa,Pacific cod,gadid,12,1050
1990,21740,female,103.268514553191,all,age,goa,walleye pollock,gadid,16,770
1990,21740,male,75.54808936908486,all,age,goa,walleye pollock,gadid,16,710
1990,21740,total,103.91618246862969,all,age,goa,walleye pollock,gadid,16,770
1990,30060,female,94.8083902841707,all,age,goa,Pacific ocean perch,rockfish,71,500
1990,30060,male,150.62930491175345,all,age,goa,Pacific ocean perch,rockfish,75,470
1990,30060,total,144.85584299212164,all,age,goa,Pacific ocean perch,rockfish,75,500
1990,30420,female,40.248854146482635,all,age,goa,northern rockfish,rockfish,33,460
1990,30420,male,28.05454706972179,all,age,goa,northern rockfish,rockfish,33,450
1990,30420,total,55.6574671983855,all,age,goa,northern rockfish,rockfish,33,460
1993,10110,female,235.22454483278497,all,age,goa,arrowtooth flounder,flatfish,23,890
1993,10110,male,152.8893902439593,all,age,goa,arrowtooth flounder,flatfish,20,720
1993,10110,total,354.1319239403358,all,age,goa,arrowtooth flounder,flatfish,23,890
1993,10130,female,61.93459904687313,all,age,goa,flathead sole,flatfish,24,540
1993,10130,male,41.09747593990895,all,age,goa,flathead sole,flatfish,25,470
1993,10130,total,103.4286770833087,all,age,goa,flathead sole,flatfish,25,540
1993,10180,female,54.90805315528552,all,age,goa,Dover sole,flatfish,43,690
1993,10180,male,34.54183211254648,all,age,goa,Dover sole,flatfish,38,590
1993,10180,total,85.60556634654654,all,age,goa,Dover sole,flatfish,43,690
