species_code,sex_cat,err_src,comp_type,region,iss,species,type,max_age,max_len
10110,female,all,age,goa,223.7924283753845,arrowtooth flounder,flatfish,29,990
10110,female,all,length,goa,3697.2194101709997,arrowtooth flounder,flatfish,29,990
10110,female,hl,age,goa,371.952307224365,arrowtooth flounder,flatfish,29,990
10110,female,hl,length,goa,5230.966963809556,arrowtooth flounder,flatfish,29,990
10110,female,hl_ln,age,goa,371.37057913826794,arrowtooth flounder,flatfish,29,990
10110,female,ln,age,goa,54904.18136331621,arrowtooth flounder,flatfish,29,990
10110,female,ln,length,goa,13885.56339612118,arrowtooth flounder,flatfish,29,990
10110,female,sp,age,goa,619.4760408175877,arrowtooth flounder,flatfish,29,990
10110,male,all,age,goa,141.99892908705604,arrowtooth flounder,flatfish,32,790
10110,male,all,length,goa,1845.1424208380163,arrowtooth flounder,flatfish,32,790
10110,male,hl,age,goa,230.60171438919832,arrowtooth flounder,flatfish,32,790
10110,male,hl,length,goa,2683.615150837935,arrowtooth flounder,flatfish,32,790
10110,male,hl_ln,age,goa,230.1315254705351,arrowtooth flounder,flatfish,32,790
10110,male,ln,age,goa,22782.9232011958,arrowtooth flounder,flatfish,32,790
10110,male,ln,length,goa,6753.840255131147,arrowtooth flounder,flatfish,32,790
10110,male,sp,age,goa,401.3542557301707,arrowtooth flounder,flatfish,32,790
10110,total,all,age,goa,332.313768505789,arrowtooth flounder,flatfish,32,990
10110,total,all,length,goa,4631.1825266214255,arrowtooth flounder,flatfish,32,990
10110,total,hl,age,goa,526.5215724202245,arrowtooth flounder,flatfish,32,990
10110,total,hl,length,goa,6152.957966087001,arrowtooth flounder,flatfish,32,990
10110,total,hl_ln,age,goa,527.6481308946993,arrowtooth flounder,flatfish,32,990
10110,total,ln,age,goa,82014.31276300763,arrowtooth flounder,flatfish,32,990
10110,total,ln,length,goa,20725.742676695845,arrowtooth flounder,flatfish,32,990
10110,total,sp,age,goa,982.5997247478101,arrowtooth flounder,flatfish,32,990
10130,female,all,age,goa,108.36262357186607,flathead sole,flatfish,29,710
