year,species_code,comp_type,iss_length,region
1990,10110,female,2681.0075605307743,goa
1990,10110,male,1617.6205280514484,goa
1990,10110,total,3648.1819956278255,goa
1990,10130,female,1121.8680529217395,goa
1990,10130,male,935.1789536038176,goa
1990,10130,total,1731.0722530571195,goa
1990,10180,female,535.7315129212855,goa
1990,10180,male,242.5012232653287,goa
1990,10180,total,630.0085498423824,goa
1990,20510,female,198.4513063753763,goa
1990,20510,male,567.2393053517184,goa
1990,20510,total,526.0862454264959,goa
1990,21720,female,467.1517096045219,goa
1990,21720,male,401.65193248082016,goa
1990,21720,total,568.6420811378662,goa
1990,21740,female,680.8390040295832,goa
1990,21740,male,470.4660645075697,goa
1990,21740,total,460.10215881770625,goa
1990,30060,female,134.7922968752336,goa
1990,30060,male,217.24201214504424,goa
1990,30060,total,224.48834923500857,goa
1990,30420,female,62.586928410364855,goa
1990,30420,male,70.94342878280861,goa
1990,30420,total,93.80048296287752,goa
1993,10110,female,5650.255678607111,goa
1993,10110,male,2397.0390609175984,goa
1993,10110,total,7158.260089356176,goa
1993,10130,female,1129.8918298600229,goa
1993,10130,male,899.2545267314198,goa
1993,10130,total,2086.339841710156,goa
1993,10180,female,1101.5594349154867,goa
1993,10180,male,1052.301666163995,goa
1993,10180,total,1997.8984273740211,goa
1993,20510,female,221.2044210542007,goa
1993,20510,male,224.7139882225783,goa
1993,20510,total,304.47227697551057,goa
1993,21720,female,660.1948877926601,goa
1993,21720,male,608.1836102833511,goa
1993,21720,total,951.5239026935149,goa
1993,21740,female,675.7237676924485,goa
1993,21740,male,486.428819201128,goa
1993,21740,total,880.0342494088227,goa
1993,30060,female,224.89318743521133,goa
1993,30060,male,269.5318287902479,goa
1993,30060,total,302.79236465155986,goa
1993,30420,female,99.59397670089442,goa
1993,30420,male,151.8547282493613,goa
1993,30420,total,180.670142716195,goa
1996,10110,female,5231.854249833135,goa
1996,10110,male,2108.408882837391,goa
1996,10110,total,6102.81233327454,goa
1996,10130,female,1724.9071719149156,goa
1996,10130,male,1415.599465807013,goa
1996,10130,total,2928.0593603672146,goa
1996,10180,female,1026.3894119325782,goa
1996,10180,male,992.1292392068116,goa
1996,10180,total,1751.97959154493,goa
1996,20510,female,378.5191745038898,goa
1996,20510,male,593.6865501833713,goa
1996,20510,total,712.9583785901939,goa
1996,21720,female,373.21142277710675,goa
1996,21720,male,187.23818322574152,goa
1996,21720,total,303.3969224807585,goa
1996,21740,female,345.4097671322697,goa
1996,21740,male,264.891286822598,goa
1996,21740,total,123.16602023796298,goa
1996,30060,female,211.73287749939365,goa
1996,30060,male,174.15829075689794,goa
1996,30060,total,237.8482202193533,goa
1996,30420,female,97.1383898953455,goa
1996,30420,male,129.73346098857834,goa
1996,30420,total,188.15882959440785,goa
1999,10110,female,5274.954111982666,goa
1999,10110,male,2709.702036979368,goa
1999,10110,total,6866.050051339366,goa
1999,10130,female,1498.444104432325,goa
1999,10130,male,1330.568561101776,goa
1999,10130,total,2487.04531643121,goa
1999,10180,female,973.73958211353,goa
1999,10180,male,943.09443705707,goa
1999,10180,total,1674.0332390903418,goa
1999,20510,female,593.2790915999586,goa
1999,20510,male,761.7147145558928,goa
1999,20510,total,990.1486132655574,goa
1999,21720,female,1083.2809303589788,goa
1999,21720,male,992.3431809632856,goa
1999,21720,total,1473.0273967766072,goa
1999,21740,female,538.5023730767839,goa
1999,21740,male,247.9362526040343,goa
1999,21740,total,443.8533880138433,goa
1999,30060,female,166.08307882404097,goa
1999,30060,male,111.11538249595309,goa
1999,30060,total,204.58110932256884,goa
1999,30420,female,71.83212301913296,goa
1999,30420,male,85.23404185972815,goa
1999,30420,total,160.66260487002452,goa
2001,10110,female,2845.44354673278,goa
2001,10110,male,1358.4139140732882,goa
2001,10110,total,3511.744896192818,goa
2001,10130,female,1305.0428074908368,goa
2001,10130,male,1003.0622035418644,goa
2001,10130,total,2117.4180205043835,goa
2001,10180,female,368.95228139194035,goa
2001,10180,male,342.79735705975986,goa
2001,10180,total,660.1603729192894,goa
2001,20510,female,256.303827397281,goa
2001,20510,male,308.9101648873703,goa
2001,20510,total,422.3903239590617,goa
2001,21720,female,573.4044930799042,goa
2001,21720,male,526.5218565506501,goa
2001,21720,total,770.9585815617424,goa
2001,21740,female,87.987600963393,goa
2001,21740,male,92.63458140108555,goa
2001,21740,total,99.0967230775962,goa
2001,30060,female,68.27005131186864,goa
2001,30060,male,69.64748254289667,goa
2001,30060,total,78.17418285235439,goa
2001,30420,female,79.21865336074215,goa
2001,30420,male,142.44358327572215,goa
2001,30420,total,159.8625385972839,goa
2003,10110,female,2230.8489082706405,goa
2003,10110,male,1213.1479781837447,goa
2003,10110,total,2647.1202904173306,goa
2003,10130,female,2407.53878300987,goa
2003,10130,male,1996.536366370795,goa
2003,10130,total,3736.840162082519,goa
2003,10180,female,488.385500918869,goa
2003,10180,male,538.7247241611117,goa
2003,10180,total,769.7639378974101,goa
2003,20510,female,505.5695000172039,goa
2003,20510,male,560.0505850919423,goa
2003,20510,total,827.3818691137498,goa
2003,21720,female,1041.7709052196792,goa
2003,21720,male,1135.010761298107,goa
2003,21720,total,1716.4486646547568,goa
2003,21740,female,840.3745820844471,goa
2003,21740,male,756.4192820755816,goa
2003,21740,total,897.6245673061612,goa
2003,30060,female,369.7324110368071,goa
2003,30060,male,395.1136941988365,goa
2003,30060,total,500.85985261521773,goa
2003,30420,female,151.62792548789875,goa
2003,30420,male,155.5456172539911,goa
2003,30420,total,246.41994586753415,goa
2005,10110,female,5471.624294135425,goa
2005,10110,male,2377.383300842548,goa
2005,10110,total,6642.78689295412,goa
2005,10130,female,2374.8647000738993,goa
2005,10130,male,1804.0518982627527,goa
2005,10130,total,3420.307268397856,goa
